antiguedad,elevacion,escasez,falla_in,Falta_in,falta_dren,health,ingreso,ponding,CM,PRECIP,id,dens_pop
33,0.2,0.0625,0.268,0.022,0.018,0.21875,0.85609,2.29,0.0,901,1,0.15081
33,0.3,0.0625,0.269,0.0197,0.075,0.53125,0.74323,0.47625,0.0,953,2,0.35033
33,0.3,0.0625,0.267,0.0099,0.018,0.385,0.78233,0.26125,0.0,938,3,0.22463
33,0.4,0.0625,0.268,0.0304,0.018,0.45375,0.74804,0.09125,0.0,970,4,0.33947
33,0.3,1.0,0.268,0.0233,0.018,0.51875,0.76789,0.12125,0.0,959,5,0.22523
33,0.3,1.0,0.268,0.0536,0.074,0.295,0.82031,0.12375,0.0,950,6,0.20664
33,0.3,1.0,0.266,0.0214,0.078,0.2925,0.84836,0.40375,0.0,938,7,0.16746
33,0.2,1.0,0.268,0.0158,0.075,0.375,0.79854,0.2575,0.0,925,8,0.2049
33,0.2,0.0625,0.268,0.0087,0.018,0.3025,0.83916,1.01625,0.0,905,9,0.17417
33,0.4,0.0625,0.268,0.0055,0.074,0.23875,0.71421,0.7325,0.0,973,10,0.31388
33,0.3,0.0625,0.267,0.007,0.075,0.7025,0.80204,0.2925,0.0,959,11,0.20192
33,0.3,0.0625,0.268,0.0103,0.078,0.375,0.80201,0.25625,0.0,957,12,0.16366
33,0.3,0.0625,0.267,0.0197,1.0,0.43875,0.78978,0.0325,0.0,939,13,0.30011
33,0.2,1.0,0.269,0.0084,0.074,0.23875,0.7603,0.75375,0.0,929,14,0.29801
18,0.3,1.0,0.133,0.0237,0.076,0.64375,0.75355,0.57375,0.0,956,15,0.16888
33,0.3,0.0625,0.267,0.0057,0.077,0.32875,0.76615,0.6125,0.0,940,16,0.14504
18,0.4,1.0,0.134,0.0153,1.0,1.17375,0.65376,0.1925,0.0,991,17,0.30638
18,0.5,1.0,0.134,0.0092,1.0,0.985,0.71357,0.0,0.0,1002,18,0.27658
14,0.4,0.0625,0.065,0.0215,1.0,0.8875,0.65549,0.8375,0.0,992,19,0.27296
18,0.5,1.0,0.135,0.014,1.0,0.35875,0.65787,0.54375,0.0,1013,20,0.22336
9,0.4,1.0,0.029,0.049,0.087,0.85,0.58079,0.27375,0.0,989,21,0.15393
18,0.3,0.0625,0.13,0.1808,0.078,0.405,0.64303,0.53125,0.0,975,22,0.1164
9,0.4,0.0625,0.03,0.0364,1.0,0.6125,0.52149,0.6525,0.0,1003,23,0.10929
33,0.2,0.0625,0.268,0.0565,0.018,0.26,0.78278,0.47625,0.0,919,24,0.21684
33,0.2,0.0625,0.267,0.0102,0.074,0.05875,0.93157,0.04,0.0,919,25,0.18402
18,0.4,0.0625,0.133,0.0041,1.0,0.69375,0.62849,0.14625,0.0,976,26,0.48067
18,0.4,0.0625,0.135,0.0237,0.076,0.68875,0.6281,0.6225,0.000669,972,27,0.2262
18,0.4,0.0625,0.132,0.009,0.074,0.35,0.65096,0.17875,0.0,975,28,0.47517
18,0.4,0.0625,0.135,0.0171,0.075,0.4775,0.66628,0.06125,0.000502,979,29,0.30912
18,0.4,0.0625,0.135,0.0108,0.077,0.51625,0.68977,0.36875,0.0,985,30,0.19191
18,0.4,0.0625,0.134,0.0462,0.018,0.4775,0.70934,0.63375,0.0,988,31,0.25714
14,0.5,0.0625,0.066,0.0274,1.0,0.84875,0.58873,0.0775,0.0,1008,32,0.22966
14,0.6,0.0625,0.069,0.0075,1.0,0.30625,0.63704,0.07125,0.003989,1016,33,0.30994
9,0.4,0.0625,0.027,0.0355,1.0,0.07,0.444,0.27375,0.0,982,34,0.09465
9,0.2,0.0625,0.03,0.0086,0.086,0.29875,0.2971,2.25375,0.0,812,35,0.07326
9,0.2,0.0625,0.029,0.0059,0.087,0.275,0.59649,0.34,0.0,805,36,0.05167
9,0.2,0.0625,0.031,0.0181,1.0,1.955,0.54513,0.09625,0.0,827,37,0.07548
64,0.1,0.0625,0.537,0.0026,0.084,0.20125,0.55762,0.32875,0.0,799,38,0.09021
18,0.2,0.0625,0.135,0.0,0.087,0.2275,0.54801,0.7125,0.0,815,39,0.0806
9,0.2,0.0625,0.03,0.0091,1.0,0.025,0.52142,0.755,0.0,797,40,0.0297
