ca_pcgr,ca_ipm,ca_macc,ca_psm,ca_eo,ca_rh,ca_rmi,ca_re,ca_cim,ca_psncc,ca_pa,ca_arat,ca_ipda,ca_mp,ca_ipgm,ca_pe,id
0.4,0.125,0.25,0.4529375,0.0,0.25,0.3333333,0.2,0.0,0.0,1.0,1.0,1.0,0.2,0.1538462,0.614681,1
0.4,0.5,0.25,0.4814438,0.3333333,0.5,0.5,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.6521739,0.620009,2
0.4,0.5,0.5,0.5006062,1.0,0.75,0.6666667,0.4,0.0,0.0,0.0,1.0,1.0,0.6,1.0,0.588026,3
0.4,0.375,0.5,0.263225,0.0,0.25,0.3333333,0.4,0.0,0.0,0.0,1.0,1.0,0.0,,0.669716,4
0.4,0.25,0.0,0.3154438,0.5,0.25,0.5,0.6,0.0,1.0,0.0,1.0,1.0,0.6,1.0,0.589067,5
0.2,0.25,0.25,0.5867313,0.0,0.0,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.2,0.0,0.636686,6
0.6,0.5,0.25,0.5568438,1.0,1.0,0.8333333,0.8,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.612092,7
0.4,0.25,0.0,0.4381375,0.6666667,0.5,0.5,0.4,1.0,0.0,1.0,1.0,1.0,0.0,,0.622895,8
0.2,0.25,0.0,0.3093938,0.3333333,0.25,0.5,0.2,0.0,0.0,0.0,1.0,1.0,0.2,0.0049423,0.578325,9
0.4,0.5,0.5,0.5776875,0.3333333,0.5,0.5,0.4,1.0,1.0,0.0,1.0,1.0,0.8,,0.549559,10
0.4,0.25,0.25,0.4232,0.3333333,0.0,0.3333333,0.4,1.0,0.0,0.0,1.0,1.0,0.8,,0.618376,11
0.8,0.25,0.25,0.1475,0.6666667,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0.5254403,0.496801,12
0.4,0.5,0.0,0.433125,1.0,0.5,0.6666667,0.8,1.0,0.0,0.0,1.0,1.0,0.0,,0.540589,13
0.6,0.5,0.25,0.157125,1.0,1.0,0.8333333,0.8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.526588,14
0.2,0.75,0.0,0.3690625,1.0,0.5,0.8333333,0.8,0.0,0.0,1.0,1.0,1.0,1.0,,0.550291,15
0.2,0.5,0.5,0.2975,1.0,1.0,1.0,0.6,1.0,0.0,0.0,1.0,1.0,0.8,1.0,0.558701,16
0.4,0.75,0.75,0.375,0.6666667,1.0,0.8333333,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4893617,0.5116894,17
0.6,0.5,0.25,0.41875,0.3333333,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.6666667,0.8,1.0,0.6831058,18
0.4,0.5,0.0,0.469375,0.6666667,0.5,0.5,0.8,1.0,0.0,1.0,1.0,1.0,0.8,0.8409457,0.630911,19
0.4,0.25,0.25,0.5224375,0.3333333,0.0,0.5,0.6,0.0,0.0,0.0,1.0,1.0,0.0,,0.643277,20
0.4,0.5,0.0,0.503125,0.6666667,0.5,0.5,0.6,0.0,0.0,0.0,1.0,1.0,0.8,1.0,0.622161,21
0.0,0.5,0.25,0.428125,0.6666667,0.5,0.5,0.6,0.0,1.0,0.0,1.0,1.0,0.0,,0.817156,22
0.6,0.5,0.5,0.81875,0.3333333,0.5,0.5,0.8,0.0,1.0,0.0,1.0,1.0,0.4,1.0,0.822256,23
0.4,0.75,0.25,0.2506688,0.6666667,0.25,0.5,0.2,0.0,0.0,0.0,1.0,0.6666667,0.6,,0.646783,24
0.2,0.25,0.0,0.23875,0.6666667,0.5,0.6666667,0.8,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.59574,25
0.4,0.25,0.25,0.646875,0.3333333,0.25,0.5,0.4,0.0,0.0,1.0,1.0,1.0,0.0,,0.708778,26
0.6,0.75,0.0,0.4675,0.6666667,1.0,0.6666667,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,,27
0.2,0.125,0.0,0.55625,0.3333333,0.25,0.5,0.2,1.0,1.0,0.0,1.0,1.0,0.2,,0.661555,28
0.6,0.0,0.25,0.55,0.6666667,0.5,0.5,0.6,1.0,0.0,0.0,1.0,1.0,0.8,1.0,0.838883,29
0.4,0.5,0.5,0.409375,0.3333333,0.25,0.5,0.4,1.0,1.0,1.0,1.0,1.0,0.0,,0.670029,30
0.8,0.25,1.0,0.715625,0.3333333,0.0,0.5,0.2,0.0,1.0,0.5,1.0,1.0,0.6,1.0,0.732455,31
0.4,0.25,0.75,0.615625,0.6666667,0.5,0.6666667,0.4,1.0,1.0,0.0,1.0,1.0,0.2,,0.813327,32
0.4,0.5,0.25,0.5513438,1.0,0.75,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.646646,33
0.2,0.25,0.0,0.303125,0.6666667,0.75,0.8333333,1.0,1.0,1.0,0.0,1.0,1.0,0.6,1.0,0.631721,34
0.0,0.375,0.0,0.51,0.6666667,0.75,0.5,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.8227848,0.618188,35
0.0,0.25,0.0,0.3175,0.6666667,0.75,0.8333333,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0.5049505,0.547715,36
0.2,0.25,0.0,0.165625,0.3333333,0.0,0.3333333,0.4,0.0,0.0,0.0,1.0,0.6666667,0.0,,0.661041,37
0.4,0.5,0.25,0.76,0.3333333,0.5,0.5,0.4,0.0,0.0,0.0,1.0,1.0,0.8,,0.69629,38
0.6,0.25,0.5,0.409375,0.3333333,0.0,0.3333333,0.2,0.0,0.0,0.5,1.0,1.0,0.8,,0.653583,39
0.4,0.0,0.25,0.409375,0.6666667,0.25,0.6666667,0.8,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.623957,40
0.0,0.25,0.25,0.55625,0.6666667,0.5,0.6666667,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.66292,41
0.2,0.125,0.25,0.175,0.6666667,0.25,0.5,0.4,0.0,0.0,0.0,1.0,1.0,0.0,,0.680412,42
0.2,0.25,0.0,0.271875,0.6666667,0.25,0.6666667,0.6,1.0,0.0,0.0,1.0,1.0,0.0,,0.611286,43
0.4,0.0,0.0,0.18625,0.6666667,0.25,0.6666667,0.4,0.0,0.0,0.0,1.0,1.0,0.0,,0.753488,44
0.4,0.25,0.75,0.2231875,0.6666667,1.0,0.3333333,0.6,0.0,1.0,0.0,1.0,0.6666667,0.2,1.0,0.608595,45
0.0,0.25,0.25,0.44,0.6666667,0.25,0.3333333,0.2,1.0,0.0,0.0,1.0,1.0,0.0,,0.671495,46
0.0,0.125,0.25,0.6875,0.6666667,0.25,0.3333333,0.8,0.0,0.0,0.0,0.5,1.0,0.0,,0.69934,47
0.0,0.5,0.0,0.628125,0.3333333,0.0,0.3333333,0.8,0.0,0.0,0.5,1.0,1.0,0.2,1.0,0.694049,48
0.0,0.375,0.0,0.26875,0.3333333,0.25,0.3333333,0.6,0.0,0.0,1.0,1.0,1.0,0.2,0.0,0.649493,49
0.6,0.5,0.0,0.44,0.6666667,0.0,0.5,0.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.535644,50
1.0,0.375,0.75,0.394375,0.6666667,0.5,0.3333333,0.4,0.0,0.0,0.0,1.0,1.0,0.2,,0.681433,51
0.0,0.375,0.25,0.24625,0.6666667,0.25,0.3333333,0.2,0.0,0.0,0.0,1.0,1.0,0.0,,0.646369,52
1.0,0.375,0.5,0.38375,0.6666667,0.5,0.5,0.4,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.655278,53
